TIME,year,month,T,R_Rf,R_Market,eR_Market,PriceEarningRatio,PriceEarningRatioSA,PriceDividendRatio
1979m1,1979,1,1979.082,0.0076705,0.0487902,0.04111966,7.880158,9.2576369,19.50001
1979m2,1979,2,1979.159,0.0072735,-0.0287082,-0.03598165,7.569721,9.0037404,19.04911
1979m3,1979,3,1979.244,0.0080674,0.0628809,0.05481352,7.526316,9.070785,19.25
1979m4,1979,4,1979.326,0.0079682,0.0073728,-0.00059542,7.548035,9.1330636,19.45996
1979m5,1979,5,1979.411,0.0081666,-0.0139975,-0.02216407,7.25135,8.7943833,18.84069
1979m6,1979,6,1979.493,0.0080674,0.0455468,0.03747944,7.274678,8.8539378,19.04494
1979m7,1979,7,1979.578,0.0076705,0.0157749,0.00810441,7.234076,8.827498,19.03025
1979m8,1979,8,1979.663,0.0076705,0.0610951,0.0534246,7.451451,9.1271658,19.69439
1979m9,1979,9,1979.745,0.0082657,0.0001,-0.00816575,7.423103,9.112759,19.70962
1979m10,1979,10,1979.83,0.0086624,-0.0750469,-0.08370925,7.105605,8.6818433,18.80623
1979m11,1979,11,1979.912,0.0098513,0.0601539,0.05030261,7.014672,8.5187843,18.50685
1979m12,1979,12,1979.997,0.0094552,0.0270313,0.01757618,7.254374,8.7452044,19.07965
1980m1,1980,1,1980.082,0.0079682,0.0611892,0.053221,7.391707,8.8509342,19.45614
1980m2,1980,2,1980.159,0.0088606,-0.0033055,-0.01216609,7.612219,9.0544761,20.05217
1980m3,1980,3,1980.247,0.0120274,-0.1243168,-0.13634421,6.847613,8.0811509,18.05172
1980m4,1980,4,1980.329,0.0125213,0.0509782,0.03845696,6.78824,7.8440245,17.61687
1980m5,1980,5,1980.414,0.0080674,0.0589291,0.0508617,7.152962,8.1042258,18.2749
1980m6,1980,6,1980.496,0.0060815,0.0360426,0.02996112,7.670683,8.512078,19.29293
1980m7,1980,7,1980.581,0.005286,0.0678455,0.06255954,8.072776,8.8808655,20.02229
1980m8,1980,8,1980.666,0.0063796,0.0241071,0.01772747,8.378562,9.071006,20.49224
1980m9,1980,9,1980.748,0.007472,0.0289761,0.02150409,8.640711,9.1960401,20.8402
1980m10,1980,10,1980.833,0.0094552,0.0199007,0.0104455,8.857142,9.357841,21.34426
1980m11,1980,11,1980.915,0.0095542,0.1002977,0.09074351,9.193767,9.6540437,22.13703
1980m12,1980,12,1981,0.0130149,-0.0326265,-0.04564144,9.008097,9.3899021,21.67208
1981m1,1981,1,1981.082,0.0103463,-0.040822,-0.05116829,9.023067,9.2594045,21.45161
1981m2,1981,2,1981.159,0.0106432,0.016267,0.00562381,8.758527,8.8298994,20.57692
1981m3,1981,3,1981.244,0.0120274,0.0465973,0.0345699,9.135802,9.0810969,21.21019
1981m4,1981,4,1981.326,0.0107421,-0.0103534,-0.02109551,9.128388,9.0855612,21.27703
1981m5,1981,5,1981.411,0.0114344,0.0125213,0.0010869,8.858725,8.8184835,20.72929
1981m6,1981,6,1981.493,0.0134097,-0.0101513,-0.02356104,8.814124,8.7653407,20.70423
1981m7,1981,7,1981.578,0.0123238,-0.0030045,-0.01532826,8.551538,8.4453195,20.06737
1981m8,1981,8,1981.663,0.0127188,-0.0593255,-0.07204424,8.535694,8.3998063,20.01028
1981m9,1981,9,1981.745,0.0123238,-0.061131,-0.07345475,7.747217,7.5811631,18.14417
1981m10,1981,10,1981.83,0.0120274,0.0594946,0.04746719,7.830065,7.6491417,18.27147
1981m11,1981,11,1981.912,0.0106432,0.0433468,0.03270364,8.01696,7.8107526,18.64005
1981m12,1981,12,1981.997,0.0086624,-0.0281937,-0.03685611,8.059896,7.8325621,18.6727
1982m1,1982,1,1982.082,0.0079682,-0.0247026,-0.03267078,7.728953,7.38866,17.61261
1982m2,1982,2,1982.159,0.0091579,-0.0506619,-0.05981985,7.636744,7.1818235,17.1151
1982m3,1982,3,1982.244,0.0097523,-0.0089398,-0.01869213,7.481431,6.9506738,16.48809
1982m4,1982,4,1982.326,0.0112366,0.0430595,0.03182286,7.967554,7.2590726,17.22963
1982m5,1982,5,1982.411,0.0105442,-0.0297378,-0.04028203,8.092719,7.1926125,17.16814
1982m6,1982,6,1982.493,0.0095542,-0.0215301,-0.03108433,7.741708,6.692134,16.10866
1982m7,1982,7,1982.578,0.0104453,-0.0216323,-0.03207756,7.832917,6.6386531,16.03323
1982m8,1982,8,1982.663,0.0075713,0.1124354,0.10486417,7.970472,6.6434228,16.04582
1982m9,1982,9,1982.745,0.005087,0.0178399,0.01275288,9.026548,7.3988382,17.86861
1982m10,1982,10,1982.83,0.0058827,0.1123461,0.1064634,10.0126,7.999841,19.35342
